PSGC,Prov,Muni,AfBgys,AfFams,AfPers,Ecs,FamIEC,PIEC,FamOEC,POEC,TotalFam,TotalPer,Level
	041001000,BATANGAS,AGONCILLO,,,,,,,,,0,0,M
	041002000,BATANGAS,ALITAGTAG,,,,,,,,,0,0,M
	041003000,BATANGAS,BALAYAN,18,149,726,,,,,,0,0,M
	041004000,BATANGAS,BALETE,,,,,,,,,0,0,M
	041005000,BATANGAS,BATANGAS CITY,5,161,797,0,0,0,,,0,0,C
	041006000,BATANGAS,BAUAN,1,1,1,,,,,,0,0,M
	041007000,BATANGAS,CALACA,2,58,253,0,0,0,,,0,0,M
	041008000,BATANGAS,CALATAGAN,2,12,49,1,11,38,,,11,38,M
	041009000,BATANGAS,CUENCA,,,,,,,,,0,0,M
	041010000,BATANGAS,IBAAN,,,,,,,,,0,0,M
	041011000,BATANGAS,LAUREL,,,,,,,,,0,0,M
	041012000,BATANGAS,LEMERY,,,,,,,,,0,0,M
	041013000,BATANGAS,LIAN,11,648,3240,,,,,,0,0,M
	041014000,BATANGAS,LIPA CITY,1,30,187,,,,,,0,0,C
	041015000,BATANGAS,LOBO,,,,,,,,,0,0,M
	041016000,BATANGAS,MABINI,,,,,,,,,0,0,M
	041017000,BATANGAS,MALVAR,,,,,,,,,0,0,M
	041018000,BATANGAS,MATAASNAKAHOY,,,,,,,,,0,0,M
	041019000,BATANGAS,NASUGBU,,,,,,,,,0,0,M
	041020000,BATANGAS,PADRE GARCIA,,,,,,,,,0,0,M
	041021000,BATANGAS,ROSARIO,,,,,,,,,0,0,M
	041022000,BATANGAS,SAN JOSE,,,,,,,,,0,0,M
	041023000,BATANGAS,SAN JUAN,,,,,,,,,0,0,M
	041024000,BATANGAS,SAN LUIS,,,,,,,,,0,0,M
	041025000,BATANGAS,SAN NICOLAS,1,7,40,,,,,,0,0,M
	041026000,BATANGAS,SAN PASCUAL,,,,,,,,,0,0,M
	041027000,BATANGAS,SANTA TERESITA,1,1,5,,,,,,0,0,M
	041028000,BATANGAS,SANTO TOMAS,,,,,,,,,0,0,M
	041029000,BATANGAS,TAAL,,,,,,,,,0,0,M
	041030000,BATANGAS,TALISAY,,,,,,,,,0,0,M
	041031000,BATANGAS,TANAUAN CITY,,,,,,,,,0,0,C
	041032000,BATANGAS,TAYSAN,,,,,,,,,0,0,M
	041033000,BATANGAS,TINGLOY,,,,,,,,,0,0,M
	041034000,BATANGAS,TUY,,,,,,,,,0,0,M
	042101000,CAVITE,ALFONSO,,,,,,,,,0,0,M
	042102000,CAVITE,AMADEO,,,,,,,,,0,0,M
	042103000,CAVITE,BACOOR,,,,,,,,,0,0,M
	042104000,CAVITE,CARMONA,,,,,,,,,0,0,M
	042105000,CAVITE,CAVITE CITY,1,106,412,0,0,0,,,0,0,C
	042106000,CAVITE,DASMARIÑAS,,,,,,,,,0,0,M
	042123000,CAVITE,GEN. MARIANO ALVAREZ,,,,,,,,,0,0,M
	042107000,CAVITE,GENERAL EMILIO AGUINALDO,,,,,,,,,0,0,M
	042108000,CAVITE,GENERAL TRIAS,,,,,,,,,0,0,M
	042109000,CAVITE,IMUS,,,,,,,,,0,0,M
	042110000,CAVITE,INDANG,,,,,,,,,0,0,M
	042111000,CAVITE,KAWIT,,,,,,,,,0,0,M
	042112000,CAVITE,MAGALLANES,,,,,,,,,0,0,M
	042113000,CAVITE,MARAGONDON,,,,,,,,,0,0,M
	042114000,CAVITE,MENDEZ (MENDEZ-NUÑEZ),,,,,,,,,0,0,M
	042115000,CAVITE,NAIC,,,,,,,,,0,0,M
	042116000,CAVITE,NOVELETA,2,74,320,0,0,0,,,0,0,M
	042117000,CAVITE,ROSARIO,,,,,,,,,0,0,M
	042118000,CAVITE,SILANG,,,,,,,,,0,0,M
	042119000,CAVITE,TAGAYTAY CITY,,,,,,,,,0,0,C
	042120000,CAVITE,TANZA,,,,,,,,,0,0,M
	042121000,CAVITE,TERNATE,,,,,,,,,0,0,M
	042122000,CAVITE,TRECE MARTIRES,,,,,,,,,0,0,c
	043400000,LAGUNA,,46,2655,12058,11,163,535,0,0,163,535,P
	043401000,LAGUNA,ALAMINOS,,,,,,,,,0,0,M
	043402000,LAGUNA,BAY,,,,,,,,,0,0,M
	043403000,LAGUNA,BIÑAN CITY,2,18,88,1,16,80,,,16,80,C
